Date 	"Opening Price
(TZS)"	"Closing Price
(TZS)"	High (TZS)	"Low
(TZS)"	"Turnover
(TZS)
"	"Number of 
deals"	"Outstanding
shares bids"	"Outstanding
Offers"	"Number of 
share 
traded
"	"Market Cap 
(TZS) 
Billions"
03/08/2015	7350	7340	7340	7340	7633600	4	143	2089	1040	264.24
04/08/2015	7340	7340	7350	7340	4646250	5	140	2732	633	264.24
05/08/2015	7340	7330	7340	7300	4692000	3	0	7170	640	263.88
06/08/2015	7330	7300	7300	7300	949000	1	3	6720	130	262.8
07/08/2015	7300	7300	7300	7300	25404000	4	3	3680	3480	262.8
10/08/2015	7300	7300	7300	7300	14621900	7	0	3865	2003	262.8
11/08/2015	7300	7300	7300	7300	4912900	9	4	2002	673	262.8
12/08/2015	7300	7300	0	0	0	0	4	2672	0	262.8
13/08/2015	7300	7300	7300	7300	9709000	5	4	1342	1330	262.8
14/08/2015	7300	7300	7300	7300	3095200	2	0	8552	424	262.8
17/08/2015	7300	7020	7300	7000	5549000	4	0	8610	791	252.72
18/08/2015	7020	7260	7300	7200	1931800	7	7142	7703	266	261.36
19/08/2015	7260	7030	7300	7000	16665290	13	5910	3212	2357	253.08
20/08/2015	7030	7030	0	0	0	0	5910	3212	0	253.08
21/08/2015	7030	7300	7300	7290	23447500	8	5611	0	3212	262.8
24/08/2015	7300	7300	7300	7300	1752000	1	5005	0	240	262.8
25/08/2015	7300	7310	7310	7310	7310000	5	4815	1440	1000	263.16
26/08/2015	7310	7350	7500	7300	6094100	7	212	1250	829	264.6
27/08/2015	7350	7350	7350	7350	1102500	1	212	1250	150	264.6
28/08/2015	7350	7510	7510	7500	34930530	14	6827	0	4653	270.36
31/08/2015	7510	7510	7510	7500	30631900	7	696	602	4080	270.36
01/09/2015	7510	7480	7510	7030	40147130	28	0	220	5369	269.28
02/09/2015	7480	7300	7300	7300	3321500	6	43	201	455	262.8
03/09/2015	7300	7500	7500	7500	1500000	2	11183	1	200	270
04/09/2015	7500	7500	0	0	0	0	1243	1	0	270
