Date 	"Opening Price
(TZS)"	"Closing Price
(TZS)"	High (TZS)	"Low
(TZS)"	"Turnover
(TZS)
"	"Number of 
deals"	"Outstanding
shares bids"	"Outstanding
Offers"	"Number of 
share 
traded
"	"Market Cap 
(TZS) 
Billions"
41743	2700	2700	2700	2700	267300	2	0	4300	99	97.2
41744	2700	2700	2700	2700	267300	2	0	5200	99	97.2
41745	2700	2700	2700	2700	5405400	3	0	1500	2002	97.2
41746	2700	2700	2700	2700	21448800	8	0	700	7944	97.2
41751	0	0	0	0	0	0	0	700	0	97.2
41752	2700	2700	2700	2700	540000	2	0	600	200	97.2
41753	0	0	0	0	0	0	0	600	0	97.2
41754	0	0	0	0	0	0	0	0	0	97.2
41757	0	0	0	0	0	0	0	0	0	97.2
41758	2700	2700	2700	2700	64800	1	0	1800	24	97.2
41759	2700	2700	2700	2700	54000	1	0	1800	20	97.2
41761	0	0	0	0	0	0	0	1800	0	97.2
41764	2700	2700	2700	2700	132300	2	0	1800	49	97.2
41765	2700	2700	2700	2700	270000	1	0	600	100	97.2
41766	2700	2700	2700	2700	4719600	5	0	600	1748	97.2
41767	0	0	0	0	0	0	1200	1300	0	97.2
41768	2700	2700	2700	2700	4571100	7	1200	0	1693	97.2
41771	0	0	0	0	0	0	1600	0	0	97.2
41772	0	0	0	0	0	0	4500	0	0	97.2
41773	2700	2700	2700	2700	297000	2	5700	0	0	97.2
41774	2700	2700	2700	2700	83700	2	5900	0	31	97.2
41775	0	0	0	0	0	0	5500	0	0	97.2
41778	2700	2700	2700	2700	1188000	3	2600	0	440	97.2
41779	2700	2700	2700	2700	2700	1	7000	0	1	97.2
41780	2700	2700	2700	2700	19440000	9	1200	400	7200	97.2
41781	2700	2700	2700	2700	445500	5	1200	46300	165	97.2
41782	0	0	0	0	0	0	1200	53400	0	97.2
41785	0	0	0	0	0	0	1200	46400	0	97.2
41786	0	0	0	0	0	0	0	46100	0	97.2
41787	2600	2600	2600	2600	2860000	1	100	10900	1100	93.6
41788	2660	2660	2660	2660	266000	1	200	39000	100	95.76
41789	2660	2660	2660	2660	915040	4	100	49300	344	95.76
41792	0	0	0	0	0	0	100	49300	0	95.76
41793	0	0	0	0	0	0	0	38500	0	95.76
41795	2660	2680	2680	2660	1990640	4	900	38600	748	96.48
41796	2660	2660	2660	2660	858000	1	500	38600	100	96.48
41799	0	0	0	0	0	0	500	38600	0	96.48
41800	2680	2680	2680	2660	727520	2	600	35000	272	96.48
41801	0	0	0	0	0	0	100	10000	0	96.48
41802	2660	2660	2660	2660	449540	3	500	45800	169	95.76
41803	0	0	0	0	0	0	500	46000	0	95.76
41806	0	0	0	0	0	0	400	36000	0	95.76
41806	0	0	0	0	0	0	2200	36000	0	95.76
41808	2660	2660	2660	2660	5852000	3	0	9500	2200	95.76
41809	0	0	0	0	0	0	0	45500	0	95.76
